,runoff,soil_moisture,prism,chirps,persiann,trmm,daymet,modis,gmet_eto,gmet_etr,fldas,terraclimate,p_mean,et_mean,q_in,q_out,res_s,s,ds
2005-11-30,0.45362437864106653,1.5980402717487188,1.5700737297669431,2.210659094577339,2.9404526715157004,2.0363544664724222,2.4633927999447662,0.9330414718140738,2.958571342756931,4.453991683976564,0.6321800379926351,1.288468143682259,2.2441865524554343,2.0532505360444926,0.7437442859366401,1.4158820884799999,1.28954043252,5633.856622915021,-0.42407664419114144
2005-12-31,11.046016920668366,6.263264354790701,7.94116468253084,10.074099014534172,12.466221989863811,10.401641202329298,10.619899649176153,0.8135719586241758,1.676950982948236,2.4525960290288498,0.866752065082228,1.6297422893497726,10.300605307686855,1.4879226650066524,3.3190726507425783,1.3977116946,1.5854202140399998,5635.297177118509,16.81895665492916
2006-01-31,8.16838073689349,7.182147443143782,5.052363676208785,5.4916831921153815,7.063338140306603,5.9619579418486905,5.626259074752098,1.1667445675530042,1.8312627196408042,2.6002874424793827,1.1816442227286943,1.8685873155308927,5.8391204050463115,1.7297052535865558,6.4610225268203525,1.10897992968,1.15343084844,5637.2180489476295,17.142944762740516
2006-02-28,3.099916590846996,6.932298496326476,2.2084745461614643,2.693144855703595,3.6582202318489307,3.0534094195633976,2.9936318075690593,1.474284514785481,3.0026165383005345,4.24888795997959,1.4561816120371132,1.9670742370392345,2.9213761721692895,2.4298089724283907,2.9437943664384,1.04154187764,1.25682607596,5638.4653744527095,5.6401899986836
2006-03-31,8.16743958974143,7.228183177082277,6.205830383710481,7.418578590597291,9.077563324869772,7.887347259808691,7.947736909078918,2.004854103029961,3.4332635602928865,4.475287532387184,2.0615413665582247,3.0822361475096094,7.70741129361303,3.0114365419555726,5.258183254327298,3.6550244998800006,1.77786282972,5640.324920212445,13.649651661330383
2006-04-30,16.30487613505055,7.0721735727794695,5.591150408862221,5.277709940090296,7.632089605781374,6.741104404180064,6.068538444615948,2.5395796829175974,5.312935633937164,6.687346938865945,3.003196992618473,4.352527928178649,6.26211856070598,4.379117435303566,8.770800116708353,11.003220102119998,2.0066314313999998,5642.363813945415,15.88269827766413
2006-05-31,3.8975417477280625,4.366351916942758,0.9565096330021938,0.8727020083053751,1.254756507388148,1.1398099691397328,1.1875003062979923,3.1581502728252238,9.789563700580526,12.853253649012103,3.3357664234139794,3.398196969925773,1.0822556848266882,6.506986203151522,5.8067936443146255,3.78529232268,2.30157130116,5642.722504867859,2.9051943371145654
2006-06-30,0.6296163749245491,2.7606338694003454,0.06596623755611447,0.18357515859576756,0.11363453456130193,0.09575896225791145,0.0642562891226559,2.311673807303379,11.565545557772454,15.483410566620453,2.629084175621223,1.6544188258440538,0.10463823641875028,6.728826586632313,3.663098136861696,8.622091807919999,2.25122928192,5642.214494365264,-9.297505579564906
2006-07-31,0.016291247798713725,1.9388727571769224,0.020567505909078486,0.05970835182226231,0.06685445840716607,0.021705071946809873,0.006728142130388236,1.4138911739289604,12.781408040118784,17.287439105941885,1.7395341622822986,0.8342222530953538,0.035112706043141,6.811298947073456,2.235387968085197,13.108745792519999,1.9694703794400001,5641.089985515105,-16.52973280296298
2006-08-31,0.0,1.527603451848584,0.0015876390334423878,0.08902404620409984,0.10059272841255022,0.005594609961089092,0.004763935873650001,1.5474928218055786,10.538337015090107,14.198217008092657,0.9117222605712841,0.41894378398539295,0.04031259189696631,5.522942577909005,1.7445922160984069,6.24191576028,1.71675376356,5639.796112083363,-9.315967608985293
2006-09-30,0.007758123911529412,1.272554508148254,0.0005467606852611652,0.23462662480631435,0.006618793351239067,0.0006206392703921481,0.0014100371528764706,1.294016259804461,8.480093009362319,11.986296353843837,0.46068140307761307,0.26238977133788866,0.048764571053216646,4.496695359485225,1.233851156780544,2.78226709152,1.485294942,5638.296177314003,-5.502080833999606
2006-10-31,0.06569818838437647,1.0956324624159124,0.3209058071174512,0.6215346647252264,0.4909570164404812,0.37254585319281863,0.4083200413640839,0.8561458948019705,5.031500572761649,7.254418546455429,0.5086889999279653,0.5325440099492644,0.44285267656801225,2.836659604779256,0.9483632705461248,1.56415501884,1.31360932776,5637.830233117877,-2.5952928281484016
2006-11-30,0.3455145857385411,1.5265910027830212,1.5341199002335573,2.5453447490016936,2.7001951591034756,1.9823249962767804,2.0961074736386673,0.920389955170786,2.5755824519445056,3.745931253379347,0.5608268898693198,1.317110689804449,2.171618455650835,1.8239682480336818,0.7838246811515904,1.52593440756,1.2804077466,5638.106740516101,-0.44670189225982415
2006-12-31,0.5642512151210667,3.1185794706279406,3.268397965262706,4.255355070016445,4.807498285925053,4.159348975794805,4.062907202775121,0.8019604431578856,1.9544737362618865,3.0012875420889165,0.8344901242058121,1.5207424741147109,4.110701499954827,1.6225908639658424,0.9789113827362816,1.39588367724,1.2910280094,5638.86952153029,1.032780825961413
2007-01-31,0.08043929864232158,2.9184774191429272,0.5351896947412315,1.0518806831483456,1.194925855062511,0.8188645625204496,0.6780771540078155,0.8440938132608504,2.3673093646172974,3.6130945057247685,0.7852971721454416,0.811504522699796,0.8557875898960706,1.6842598756896308,0.8083132228638721,0.93163757616,1.26568739628,5639.592451160197,-0.6459146758423531
2007-02-28,2.8882894641473253,4.371385110680597,4.314648532955237,5.540222637926253,6.7806990427278855,6.118137921782175,5.586828464697991,1.3714925519000596,2.4643144146838654,3.4014786056943063,1.236756432478464,1.9085866023177038,5.668107320017908,2.0765257214148796,1.0111485834381313,0.94189396236,1.44247838424,5640.413577519959,4.919427004330814
2007-03-31,2.1091790165935684,3.3590762936235676,0.537818921949008,1.3080247709678086,0.812219084084191,0.636568444782748,0.7337578643944755,2.133857606630701,5.675301865556664,7.688858003970373,2.185418064167235,1.5827604994208626,0.8056778172356462,3.853239207949167,0.927986534793216,1.33633002936,1.64873350896,5640.381122231709,-0.5406721763497069
2007-04-30,0.9713009337243609,2.797778720403376,1.313015263915719,1.914512756248862,2.0220459586159816,1.7489761177567527,1.6233093924069908,1.7445573106089665,7.161659338852217,9.65171894030868,2.1746509750044174,2.062579618358212,1.7243718977888611,4.559033236626499,1.0012845942466562,1.09544988756,1.7389761392400003,5639.936199550041,-1.48647075548643
2007-05-31,0.3621300460885333,2.024143434854802,0.2918560986725755,0.45441077617951103,0.5556700557058691,0.3880390783938617,0.3745929132501523,2.2340837552429176,10.461136800783686,13.999534966108094,1.884516829370117,1.0703403211808127,0.4129137844403939,5.929922534537125,1.2765103607061503,1.65599870616,1.7749937552400001,5638.081124279302,-4.796749379913472
2007-06-30,0.09832740518249412,1.5057415270339767,0.029385944780351322,0.173838633842665,0.12382853219949681,0.08807910296972435,0.060972120469680396,1.9426137669748456,11.79459965168946,16.023450017399323,1.3804877747864954,0.569250878917371,0.09522086685238358,6.342080417953499,1.4472428618207231,1.47068560488,1.54946797248,5636.560125848902,-5.4280471983970715
