,cri,gfz,jpl,mas,csr,grace_median,gldas_sm,tc_sm,gldas_swe,fldas_swe,res_ts,swe,sm,grace,t,adj
2005-06-30,9.913368440055153,48.28606271604837,30.284695320695498,8.193839217887165,38.502677159868746,30.284695320695498,3.44563549084552,9.644250406769261,0.03866208660826014,0.19386028600919336,41.4718733706,0.11626118630872675,6.544942948807391,26.845893000626933,26.845893000626933,26.845893000626933
2005-07-31,-2.5429310391175823,18.806595013599235,8.97328215862983,-2.1487464852708364,20.376553838158824,8.97328215862983,2.8689782472303196,6.508360285449881,0.00038466334918862266,0.044347552289847436,41.9181649368,0.02236610781951803,4.6886692663401,10.477159353386334,10.477159353386334,10.477159353386334
2005-08-31,-9.110987744051652,9.113952079404028,12.145078948929996,-7.754336073560464,8.432654107715928,8.432654107715928,2.186354606895009,4.123511292361942,8.665438783754603e-06,0.0029392872115634834,38.81423463132,0.001473976325173619,3.154932949628476,13.091212861401894,13.091212861401894,13.091212861401894
2005-09-30,-8.919096631192062,3.0662914907409933,-12.642347327027379,-7.966533752187313,-17.251015333845427,-8.919096631192062,1.673520915053925,3.090073801628705,6.221713561122872e-06,0.0,34.9840954428,3.110856780561436e-06,2.381797358341315,-4.314350985916507,-4.314350985916507,-4.314350985916507
2005-10-31,-14.90318330859402,3.8420793934279094,-15.395740152472632,-13.341342389400486,-14.839851960046024,-14.839851960046024,1.4382503659126828,2.5067408050226634,8.54853765770353e-05,7.362029609739734e-06,33.02913818904,4.642370309338752e-05,1.9724955854676731,-12.475636246258695,-12.475636246258695,-12.475636246258695
2005-11-30,2.8029676811308284,-4.7466665579467255,-16.71749740145943,1.9439148646272315,-12.353756661403711,-4.7466665579467255,1.4217334599291016,2.1778413455961014,0.0003977029754413792,0.00037090227110891363,31.74192533328,0.00038430262327514644,1.7997874027626015,-3.2870833984018395,-3.2870833984018395,-3.2870833984018395
2005-12-31,43.10443215278675,12.382070570752447,9.207351611303936,36.57874344719158,1.8314908693003353,12.382070570752447,1.6861400150854624,4.432835446949605,0.008301951169065108,0.01898707620568291,31.45963480092,0.013644513687374009,3.059487731017534,11.391400563793416,11.391400563793416,11.391400563793416
2006-01-31,42.420992593196864,38.99068094334852,34.716833388688755,35.97830382886688,39.30602507056233,38.99068094334852,2.3521214467804263,11.966756120761367,0.04988488723188361,0.1445074340075047,36.74190065424,0.09719616061969416,7.159438783770897,29.52491239034284,29.52491239034284,29.52491239034284
2006-02-28,53.627223097931775,36.451121508178254,36.318163959432916,46.05754216606423,34.21006825792257,36.451121508178254,3.5384116213853085,13.093174327919218,0.14620771493550488,0.40753887257137966,36.42007215396,0.2768732937534423,8.315792974652263,35.436918684443135,35.436918684443135,35.436918684443135
2006-03-31,70.78417808150304,38.2148903041051,48.71600162513286,60.87310891936497,54.48475883276016,54.48475883276016,3.442978513292426,12.821417782810784,0.09761741509026732,0.35898110256157206,37.64003197968,0.2282992588259197,8.132198148051605,53.49696786856834,53.49696786856834,53.49696786856834
2006-04-30,43.01968405830366,58.02173819449646,62.07521628496152,36.747488056658334,64.89119001154738,58.02173819449646,3.7423612048893253,13.182889134465267,0.16896314300203746,0.5126077290673878,39.05315600688,0.3407854360347127,8.462625169677295,56.16570096846198,56.16570096846198,56.16570096846198
2006-05-31,30.92889919913584,40.18920874977543,40.813681308135585,26.248344703932425,50.52412128443739,40.18920874977543,3.9180862967826644,13.24855185776706,0.09274571378317263,0.5379637691091734,41.36846950872,0.31535474144617304,8.583319077274862,37.7786320349264,37.7786320349264,37.7786320349264
2006-06-30,22.798234674328498,33.590879590250346,27.006977758319575,19.614050060599574,34.28421364428682,27.006977758319575,3.202344051699951,8.959383891650674,0.002959690269965941,0.16367817707988144,44.10414312672,0.0833189336749237,6.080863971675313,27.005795053690374,27.005795053690374,27.005795053690374
2006-07-31,8.194839638431784,20.428175418596908,23.478271305586325,6.990633145019264,17.72638347909667,17.72638347909667,2.555779067304363,5.459793363826894,6.127055799351926e-05,0.017142807061446233,43.63820469108,0.008602038809719876,4.007786215565629,20.340116565711554,20.340116565711554,20.340116565711554
